Date,Price,Oil_Price,USD_Index,Trade_Weighted_Dollar,CPI,Volume,US_Tariff_Index,Sanction_Intensity,Russia_Sanction_Intensity,Price_cap,Oil_lag1,Oil_lag7,Oil_ma7,USD_lag1,USD_lag7,USD_ma7
2022-05-12,1823.800048828125,106.15,121.273,114.17624109770928,291.299,153.0,114.54731488716509,90.88767123287673,95.0,1823.800048828125,105.5,108.17,105.28428571428572,120.3896,120.0043,120.44754285714285
2022-05-13,1807.4000244140625,110.52,120.8379,111.4910031054407,291.299,335.0,114.47470600900267,90.91232876712328,95.0,1807.4000244140625,106.15,109.72,105.39857142857143,121.273,119.8544,120.58804285714287
2022-05-14,1809.433349609375,111.70333333333333,120.78566666666667,112.61884218762835,291.299,234.66666666666666,114.8499093014152,90.93698630136986,95.0,1809.433349609375,110.52,107.50666666666666,105.99809523809525,120.8379,120.0679,120.69058095238096
2022-05-15,1811.4666748046875,112.88666666666666,120.73343333333334,113.746681269816,291.299,134.33333333333334,115.22511259382772,90.96164383561643,95.0,1811.4666748046875,111.70333333333333,105.29333333333334,107.08285714285714,120.78566666666667,120.2814,120.75515714285714
2022-05-16,1813.5,114.07,120.6812,114.87452035200364,291.299,34.0,115.60031588624024,90.986301369863,95.0,1813.5,112.88666666666666,103.08,108.65285714285713,120.73343333333334,120.4949,120.78177142857145
2022-05-17,1818.199951171875,112.31,119.8816,119.08268372342027,291.299,121.0,114.46207006332898,91.0109589041096,95.0,1818.199951171875,114.07,99.74,110.44857142857141,120.6812,120.7716,120.65462857142857
2022-05-18,1815.9000244140625,109.67,120.022,114.67995189874496,291.299,107.0,115.01440964876272,91.03561643835616,95.0,1815.9000244140625,112.31,105.5,111.0442857142857,119.8816,120.3896,120.6021142857143
2022-05-19,1841.199951171875,112.21,119.4244,114.24266349232568,291.299,138.0,114.4165601417948,91.06027397260272,95.0,1841.199951171875,109.67,106.15,111.90999999999998,120.022,121.273,120.33802857142858
2022-05-20,1841.800048828125,112.63,119.3617,118.04477537963908,291.299,110.0,116.21472722771254,91.08493150684932,95.0,1841.800048828125,112.21,110.52,112.21142857142857,119.4244,120.8379,120.12714285714287
2022-05-21,1843.800048828125,111.86,119.14513333333333,117.43246348576301,291.299,197.66666666666669,115.85900558197086,91.10958904109589,95.0,1843.800048828125,112.63,111.70333333333333,112.23380952380951,119.3617,120.78566666666667,119.89278095238096
